language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
turkish,unut,forget,doxastic: change of state,veridical,contradictory,redundant,projective,0,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,0,ignorance,0,1,1,1
turkish,öğren-,learn = find out,dubitative,typically veridical,neither,typically redundant,typically projective,0,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,belief,0,1,1,0
turkish,öğren-,"learn, e.g., at school",,neither,neither,neither,typically projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,1,1
turkish,şüpheli ol-,doubt,emotive factive,neither,neither,neither,neither,0,incompatible,typically,compatible,incompatible,compatible,typically,compatible,compatible,compatible,1,1,belief,1,0,1,0
turkish,sevin-,rejoice,,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,0,1,1
turkish,şaşır-,be surprised,emotive factive,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,belief,1,0,1,1
turkish,pişman ol-,regret,inquisitive,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,belief,1,0,1,1
turkish,sor-,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
turkish,,be curious,inquisitive,,,,,,,,,,,,,,,,,,,,,
turkish,,inquire,inquisitive,,,,,,,,,,,,,,,,,,,,,
turkish,araştır-,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,1,,,
turkish,merak et-,wonder,perception,,,,,,,,,,,,,,,,,ignorance,1,,,
turkish,gör- + nomiN/Alization,see,predicates of relevance,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,typically belief,0,1,1,0
turkish,gör- + diye clause,see,predicates of relevance,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,,,,,
turkish,umursa-,care,ratification,veridical,contradictory,neither,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,neither,1,0,0,1
turkish,kanıtla,prove,,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,typically belief,0,0,1,0
