language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
italian,ordinare,order,directive,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,incompatible,compatible,1,0,,,,,
italian,proporre,propose,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,0,,,,,
italian,essere d'accordo (su),agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,1,belief,1,0,1,1
italian,supporre ,assume,doxastic,neither,neither,neither,neither,1,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,0,0,,,,,
italian,essere cert*,be certain,doxastic,typically veridical,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,belief,1,0,1,1
italian,essere convint* ,be convinced,doxastic,typically veridical,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,belief,1,0,1,1
italian,essere inconsapevole,be unaware,doxastic,veridical,contradictory,redundant,projective,0,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,undecided,ignorance,undecided,1,1,1
italian,credere,believe,doxastic,neither,neither,neither,neither,1,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,1,,,,,
italian,aspettarsi ,expect,doxastic,neither,neither,neither,neither,1,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,1,0,,,,,
italian,sapere ,know,doxastic,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,0,belief,undecided,1,1,1
italian,sospettare ,suspect,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,1,1,,,,,
italian,pensare ,think,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,0,undecided,,,,,
italian,avere ragione ,be right,doxastic evaluative,veridical,contradictory,redundant,typically reversal,undecided,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,belief,0,1,1,1
italian,sbagliarsi ,be wrong,doxastic evaluative,anti-veridical,redundant,contradictory,typically projective,undecided,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,belief,undecided,0,1,1
italian,dimenticarsi ,forget,doxastic: change of state,veridical,contradictory,redundant,projective,0,compatible,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,1,0,neither,0,0,1,1
italian,apprendere ,learn,doxastic: change of state,typically veridical,neither,redundant,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,belief,0,0,1,1
italian,dubitare ,doubt,dubitative,neither,neither,neither,neither,typically neg-raising,incompatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,1,1,neither,1,0,0,0
