language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
spanish,indagar (sobre),inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,1,,,
spanish,investigar,investigate,inquisitive,veridical,contradictory,redundant,projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,undecided,typically ignorance,undecided,0,0,0
spanish,preguntarse,wonder,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
spanish,ver,see,perception,veridical,neither,redundant,neither,undecided,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,0,typically belief,0,1,1,1
spanish,importar (algo a alguien),care,predicates of relevance,typically veridical,contradictory,redundant,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,incompatible,1,1,typically ignorance,1,0,0,0
spanish,demostrar,prove,ratification,veridical,contradictory,redundant,neither,undecided,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,0,belief,0,1,1,1
spanish,decir,say,communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,,,,,
spanish,asumir,assume,doxastic evaluative,typically veridical,neither,neither,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,typically,compatible,compatible,1,0,belief,0,0,1,1
spanish,preveer,expect/foresee,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,1,0,belief,0,0,1,1
spanish,me intriga que,be intrigued,,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,ignorance,1,0,0,0
