predicate orthography,predicate transcription,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
להניח,lehaníax,assume,doxastic,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
בטוח,batúax,be certain,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
משוכנע,meʃuxná,be convinced,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
לא מודע,ló mudá,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible (with preposition),compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
להאמין,lehaʔmín,believe,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,NA,NA,NA,NA,NA,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,having an intransitive use
לצפות,leʦapót,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,NA,NA,NA,NA,NA,compatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,not having an intransitive use
לדעת,ladáat,know,doxastic,typically veridical,neither,neither,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
לחשוד,laxʃód,suspect,doxastic,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,not focus sensitive,gradable,always ignorance-implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,having an intransitive use
לחשוב,laxʃóv,think,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
צודק,ʦodék,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief implying (with preposition),gradable (with preposition),always Q-to-P veridical (with preposition),always Q-to-P distributive (with preposition),always P-to-Q distributive (with preposition),compatible,legabéj required,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible,compatible (with preposition),having an intransitive use
לטעות,litʔót,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying (with preposition),gradable (with preposition),Q-to-P anti-veridical (with preposition),always Q-to-P distributive (with preposition),always P-to-Q distributive (with preposition),compatible,legabéj required,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible,compatible (with preposition),having an intransitive use
לשכוח,liʃkóax,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
ללמוד,lilmód,learn,doxastic: change of state,typically veridical,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
ספקן,safék,doubt,dubitative,neither,neither,neither,neither,always neg-raising,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,always ignorance-implying (with preposition),gradable (with preposition),neither (with preposition),Q-to-P non-distributive (with preposition),P-to-Q non-distributive (with preposition),compatible,legabéj required,incompatible,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible (with preposition),having an intransitive use
שמח,saméax,be happy,emotive factive,typically veridical,neither,neither,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief implying (with preposition),gradable (with preposition),always Q-to-P veridical (with preposition),always Q-to-P distributive (with preposition),typically P-to-Q distributive (with preposition),compatible,legabéj required,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
מופתע,muftá,be surprised,emotive factive,typically veridical,neither,neither,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,typically Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
להתחרט,lehitxarét (something the subject did),regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
לשאול,liʃʔól,ask,inquisitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typically ignorance-implying,non-gradable,NA,NA,NA,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,al required,having an intransitive use
סקרן,sakrán,be curious,inquisitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,always ignorance-implying,gradable,NA,NA,NA,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
לשאול,same as ask,inquire,inquisitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typically ignorance-implying,non-gradable,NA,NA,NA,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,al required,having an intransitive use
לחקור,laxkór,investigate,inquisitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,always ignorance-implying,non-gradable,NA,NA,NA,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
לתהות,lithót,wonder,inquisitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,always ignorance-implying,gradable,NA,NA,NA,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
לראות,lirʔót,see,perception,typically veridical,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
אכפת,ixpát,care,predicates of relevance,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,"neutral between
belief and ignorance",gradable,"typically Q-to-P
veridical",always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,incompatible*,incompatible,incompatible,incompatible,incompatible,compatible (preposition mi- 'from'),having an intransitive use
להוכיח,lehoxíax,prove,ratification,always veridical,contradictory,redundant,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
