language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the complement,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause: indicative,finite declerative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,intransitive use
French,fra001,supposer,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,être certain(e),be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,undecided,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable,de required,de required,de required,de required,unacceptable
French,fra001,être convaincu,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,undecided,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,acceptable
French,fra001,ignorer,be unaware,doxastic,always veridical,contradictory,neither,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
French,fra001,croire,believe,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,s'attendre,expect,doxastic,neither,neither,neither,typically projective,always neg-raising,typically,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
French,fra001,savoir,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable
French,fra001,soupçonner,suspect,doxastic,neither,neither,neither,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,?,?,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,penser,think,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
French,fra001,avoir raison,be right ,doxastic evaluative,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always belief-implying,,N/A,N/A,N/A,unacceptable,unacceptable,sur required ,sur required ,sur required ,sur required ,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
