consultantID,language,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declarative clause: indicative,finite declarative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
pol001,Polish,być zaskoczonym,be surprised,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,1,1,1,1,0,1,1*,0,0,1,0,0,0,0,0,0,0
pol001,Polish,żałować,regret,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pol001,Polish,pytać,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,neither,0,N/A,N/A,N/A,0,0,1,1,1,1,1,0,1,1,1,0,1,0
pol001,Polish,być ciekawym,be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ignorance,1,N/A,N/A,N/A,0,0,1,1,1,1,1,0,0,0,0,0,1,0*
pol001,Polish,dociekać,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ignorance,0,N/A,N/A,N/A,0,0,1,1,1,1,1,0,1,1,1,0,1*,0
pol001,Polish,badać,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ignorance,0,N/A,N/A,N/A,0,0,1,1,1,1,1,0,1,1,1,0,0,0
pol001,Polish,zastanawiać się,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ignorance,0*,N/A,N/A,N/A,0,0,1,1,1,1,1,0,1,1,1,0,0,1
pol001,Polish,widzieć,see,perception,veridical,contradictory,redundant,projective,0,typically implies,compatible,compatble,compatible,typically incompatible,compatble,compatible,compatible,compatble,0,0,neither,0,1,1,1,1,0,1,1,1,1,0*,0,0,0,0,0,1,0
pol001,Polish,obchodzić,care,predicates of relevance,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,1,1,neither,1,0,0,1,1,0,1,1*,1,1,1,0,0*,0*,0*,0*,1*,0
pol001,Polish,udowodnić,prove,ratification,veridical,contradictory,redundant,neither,0,typically implies,compatible,compatible,typically implies,incompatible,compatible,compatible,compatible,compatible,1,0,belief,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
