consultant_id,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity  ,gradability wrt decl,belief/ignorance wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declarative clause,finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,concealed q,content DP,Intransitive use
swe1,veta,know,doxastic,always veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,U*,"always belief-implying* (see note about ""if any"" examples)",non-gradable,always Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,U,yes*,no,not having an intransitive use
swe1,misstänka,suspect,doxastic,neither,neither,neither,typically projective*,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no*,no,no,no,yes,yes,not having an intransitive use
swe1,tänka,think,doxastic,neither,neither,neither,neither* (past tense: typically projective),"""have a thought"": non-neg-raising. ""belief/opinion"": typically neg-raising","""have a thought"": typically. ""belief/opinion"": always","""have a thought"": compatible. ""belief/opinion"": incompatible","""have a thought"": compatible. ""belief/opinion"": incompatible","""have a thought"": compatible. ""belief/opinion"": always","""have a thought"": compatible. ""belief/opinion"": incompatible","""have a thought"": compatible. ""belief/opinion"": incompatible",compatible,compatible,compatible,not focus sensitive,"""have a thought"": non-gradable. ""belief/opinion"": gradable*",N/A,N/A,N/A,N/A,N/A,yes,no,no*,no,no,no*,no,yes*,having an intransitive use
swe1,tänka på,think about,doxastic,typically veridical,typically contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always ignorance-implying,non-gradable,Q-to-P anti-veridical,Q-to-P non-distributive,P-to-Q non-distributive,yes,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use*
swe1,ha rätt,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically*,compatible,compatible,not focus sensitive,U* (only 3 is OK),always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no*,yes,yes,not having an intransitive use
swe1,ha fel,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,typically projective,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,typically*,compatible,compatible,focus sensitive,U* (only 3 is OK),always belief-implying,non-gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no*,yes,yes,not having an intransitive use
swe1,glömma,forget,doxastic: change of state,always veridical,contradictory,redundant,typically projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,U* (2 and 3 are OK),typically ignorance-implying,U* (2 and 3 are OK),always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes*,yes*,not having an intransitive use
swe1,lära sig,learn,doxastic: change of state,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use
swe1,tvivla,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,incompatible*,always*,incompatible*,incompatible,compatible,always,compatible,compatible,compatible,focus sensitive,gradable,tvivla 1: N/A. tvivla 2: always ignorance-implying*,tvivla 1: N/A. tvivla 2: gradable,tvivla 1: N/A. tvivla 2: neither,tvivla 1: N/A. tvivla 2: neither*,tvivla 1: N/A. tvivla 2: always P-to-Q distributive,yes,tvivla 1: no. tvivla 2: yes,tvivla 1: no. tvivla 2: yes,yes,tvivla 1: no. tvivla 2: yes,no,yes,yes,not having an intransitive use
swe1,vara glad,be happy,emotive factive,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,U* (2 and 3 are OK),always belief-implying*,U* (2 and 3 are OK),typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,yes,yes,having an intransitive use
