language,predicate,English translation,Predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,Finite declarative with subordinate clause syntax Konjunktiv I (present subjunctive),Finite declarative with subordinate clause syntax Konjunktiv II (past subjunctive),Finite declarative with main clause syntax Konjunktiv I (present subjunctive),Non-finite declarative clause without subject,Concealed statement (CS),Plain accusative DP (without preposition),P-to-Q distributivity,Concealed question,Finite non-d-linked constituent interrogative clause indicative mood,Finite non-d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite non-d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite d-linked constituent interrogative clause indicative mood,Finite d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite polar interrogative clause indicative mood,Finite polar interrogative clause Konjunktiv I (present subjunctive),Finite polar interrogative clause Konjunktiv II (past subjunctive),Finite alternative interrogative clause indicative mood,Finite alternative interrogative clause Konjunktiv I (present subjunctive),Finite alternative interrogative clause Konjunktiv II (past subjunctive)
german,erwarten,expect,doxastic,neither,neither,neither,neither*,typically neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible*,compatible,compatible,focus sensitive,non-gradable,,,,,,1,0,0,0,0,1,1,no,,,,,,,,,,,,,
german,wissen,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,0,0,1,no,1,1,0,1,1,0,1,1,0,1,1,0,1
german,vermuten,suspect,doxastic,neither,neither,neither,neither (except past subjunctive:typically projective),non-neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,,,,,,,,no,,,,,,,,,,,,,
german,denken,think,doxastic,neither,neither,},neither,can be neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,,,,,,,,no,,,,,,,,,,,,,
german,darüber nachdenken,thinking about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
german,recht haben,be right ,doxastic evaluative / communication verb,always veridical,contradictory,redundant,always reversive,undecided,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
german,falsch liegen,be wrong,doxastic evaluative,always anti-veridical,neither,contradictory,typically projective,undecided,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
german,vergessen,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,0,0,1,no,1,1,0,1,1,0,1,1,0,1,1,0,1
german,lernen,learn,doxastic: change of state,undecided,neither,neither,typically projective,non-neg-raising,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,1*,0,1,yes,1,1,0,1,1,0,1,1,0,1,1,0,1
german,bezweifeln,doubt,dubitative,neither,neither,neither,neither*,non-neg-raising,incompatible,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,not focus sensitive,gradable,,,,,,,,,,,,,no,,,,,,,,,,,,,
german,sich freuen,be happy,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
german,überrascht sein,be surprised,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
german,bereuen,regret,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
german,fragen,ask,inquisitive,,,,,,,,,,,,,,,,,neutral,non-gradable,,,,,,,,,,,no,,,,,,,,,,,,,
german,neugierig sein,be curious,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,,,,,,,,,,,,yes,,,,,,,,,,,,,
german,sich erkundigen,inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,,,,,,,,no,,,,,,,,,,,,,
german,untersuchen,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,,,,,,,,no,,,,,,,,,,,,,
german,sich fragen,wonder,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,non-gradable,,,,,,,,,,,no,,,,,,,,,,,,,
german,sehen,see,perception,typically veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,incompatible,typically,compatible,incompatible,compatible,compatible,compatible,(sometimes) focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,,,,,,,,no,,,,,,,,,,,,,
german,es kümmert jemanden,sb. cares,predicates of relevance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
german,beweisen,prove,ratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
german,etw. an etw. merken,notice realize feel,perception/cognition,typically veridical,contradictory,typically redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,undecided (gradable for DP-compelements),belief,undecided,always Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,,,,,,,,no,,,,,,,,,,,,,
