language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,P-to-Q distributivity
italian,essere convint* ,be convinced,doxastic,typically veridical ,neither  ,neither ,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,yes,yes,no,no,yes?,no intransitive use 
italian,essere inconsapevole,be unaware,doxastic,always veridical ,contradictory  ,redundant   ,always projective ,non-neg-raising,compatible,compatible,compatible ,incompatible ,compatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided ,always ignorance-implying <- neutral,undecided,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,no***,no***,yes,?,?,no,no,yes,no intransitive use 
italian,credere,believe,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not-focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
italian,aspettarsi ,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,yes?,no intransitive use
italian,sapere ,know,doxastic,always veridical ,contradictory,redundant,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive,non gradable,always belief-implying,undecided,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no intransitive use 
italian,sospettare ,suspect,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,gradable ,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
italian,pensare ,think,doxastic,neither,neither,neither,neither,tipically neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not-focus-sensitive,undecided,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no***,no***,no,no,yes,no***,no,no***,no,no,no intransitive use 
italian,avere ragione ,be right,doxastic evaluative,always veridical ,contradictory,redundant,typically reversive,undecided (predicate specific notes),typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,always belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive ,always P-to-Q distributive ,??***,yes,yes,???,???,?? ,??,??,???,???,yes,intransitive use 
italian,sbagliarsi ,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,typically projective ,undecided (predicate specific notes),typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non gradable,always belief-implying,undecided,always Q-to-P anti veridical,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,??,??,?? ,??,??,no,no,yes,intransitive use 
italian,dimenticarsi ,forget,doxastic: change of state,always veridical ,contradictory,redundant,always projective ,non-neg-raising,compatible,compatible,compatible ,incompatible ,"incompatible <- changes to ""compatible""",always,compatible,compatible,compatible,focus-sensitive,non gradable,typically ignorance-implying / neither,non gradable,always Q-to-P veridical,always Q-to-P distributive ,always P-to-Q distributive ,yes,yes,yes,yes?,yes,yes,yes?,yes?,no,no,yes,no intransitive use 
