language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,1. finite subjunctive declarative clause,2. Finite d-linked constituent interrogative clause:,3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,P-to-Q distributivity
spanish,estar convencido (de),be convinced,doxastic,typically veridical,neither,neither,*ind: typically projective sbjv: neither,*non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,?,*,*,?,*,??,compatible,compatible,???,*,compatible,no
spanish,desconocer,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,??,???,?,??,???,???,compatible,no
spanish,creer,believe,doxastic,neither,neither,neither,neither,neg-raising (see notes),always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,compatible,*,*,*,*,*,*,*,??,*,*,*,*,*,no
spanish,,expect,doxastic,,,,,,,,,,,,,,,,,,,,,,compatible,*,,,,,,,,,,,,,
spanish,saber,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief implying,non gradable*,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributivity,compatible,*,compatible,compatible,?,compatible,compatible,*,compatible,compatible,compatible,???,??,compatible,no
spanish,sospechar,suspect,doxastic,neither,neither,neither,*ind: typically projective/subj: neither,non-neg raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,*,*,*,*,??,*,*,*,*,*,no
spanish,pensar,think,doxastic,neither,neither,neither,ind: typically projective sbjv: neither,"ind: non-neg-raising, sbjv: neg-raising",always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,NA/typically ignorance,NA/non gradable,NA/neither,NA/Q-to-P non-distributive,NA/P-to-Q non-distributive,compatible,*,*,*,*,*,*,???,compatible,compatible,?,?,?,???,no
spanish,tener razón,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,undecided*,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,??,compatible,?,compatible,*,?,compatible,?,*,*,compatible,yes
spanish,equivocarse (en),be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,undecided*,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,undecided,typically belief implying,gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,?,??,*,*,??,compatible,?,*,*,?,yes
spanish,olvidarse (de),forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributivity,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,?,?,???,??,compatible,no
spanish,aprender,learn,doxastic: change of state,typically veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable*,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,?,??,??,compatible,*,compatible,?,?,*,*,compatible,no
spanish,dudar,doubt,dubitative,neither,neither,neither,neither,neg-raising,incompatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,Q-to-P anti-veridical,Q-to-P non-distributive,P-to-Q non-distributive,compatible,*,??,???,compatible,?,??,??,??,?,?,compatible,compatible,???,no
spanish,estar contento (con),be happy,emotive factive,always veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,*,compatible,compatible,?,*,*,???,*,compatible,?,?,*,*,compatible,yes
spanish,estar sorprendido,be surprised,emotive factive,always veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,*,compatible,?,compatible,*,*,*,*,compatible,*,*,*,*,compatible,no
spanish,lamentar,regret,emotive factive,always veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,always belief impliying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,*,compatible,*,*,*,*,*,*,??,*,*,*,*,*,no
spanish,preguntar,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,compatible,*,compatible,compatible,compatible,compatible,compatible,?,*,compatible,compatible,?,?,compatible,no
spanish,tener curiosidad (por),be curious,inquisitive,typically veridical,neither,neither,typically projective,non-neg raising,typically,incompatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,Not focus sensitive,gradable,always ignorance-implying,gradable,neither,Q-to-P non-distributive,P-to-Q non-distributive,*,compatible,?,??,??,??,???,*,compatible,???,???,*,*,?,no
spanish,indagar (sobre),inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,gradable,,,,*,???,compatible,compatible,compatible,?,??,*,???,?,?,compatible,compatible,compatible,no
spanish,investigar,investigate,inquisitive,always veridical,contradictory,redundant,always projective,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,typically ignorance-implying,undecided,neither,Q-to-P non-distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,?,??,*,???,?,??,compatible,compatible,compatible,no
spanish,preguntarse,wonder,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,compatible,*,compatible,compatible,compatible,compatible,compatible,?,*,compatible,compatible,compatible,compatible,compatible,no
spanish,ver,see,perception,always veridical,Typically contradictory*,redundant,ind: typically projective / sbjv: typically reversive,ind: non-neg raising/ sbjv: neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,?,compatible,?,*,*,*(NOTE),??,??,*,*,?,no
spanish,importar (algo a alguien),care,predicates of relevance,typically veridical,contradicotry,redundant,typically projective,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,incompatible,focus sensitive,gradable,typically ignorance-implying,gradable,neither,typically Q-to-P non-distributive,typically P-to-Q non-distributive,*,compatible,??,???,?,?,???,*,?,?,??,*,*,*,no
spanish,demostrar,prove,ratification,always veridical,contradictory,redundant,ind: typically projective/ sbjv: neither,ind: non-neg raising/ sbjv: non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,??,?,?,*,*,compatible,*,*,*,*,compatible,no
spanish,decir,say,communication,typically veridical,neither,neither,"ind: typically projective, sbjv: neither",non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,compatible,*,??,???,compatible,?,???,*,compatible,compatible,compatible,*,??,compatible,no
spanish,asumir,assume,doxastic evaluative,typically veridical,neither,neither,*ind: always projective/ sbjv: always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,typically,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,?,*,*,??,*,???,?,??,*,*,compatible,no
spanish,preveer,expect/foresee,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,??,??,???,*,?,compatible,?,???,???,compatible,no
spanish,me intriga que,be intrigued,,always veridical,contradictory,redundant,always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,ignorance implying,gradable,Q-to-P anti-veridical,always Q-to-P non-distributive,P-to-Q non-distributive,*,compatible,??,??,???,???,,*,?,?,?,??,?,compatible,no
